feature,importance
room_type_i,0.021864480382994343
review_scores_accuracy,0.17644414495463337
review_scores_cleanliness,0.09449033439198784
review_scores_checkin,0.03800342862287972
review_scores_communication,0.10643683578315732
review_scores_location,0.03663914831305224
review_scores_value,0.4063516831708704
price,0.11976994438042463
