id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
125176,Home in Vancouver · ★4.67 · 1 bedroom · 2 beds · 1 private bath,622926,Mark,,Riley Park,49.24615,-123.09462,Private room,125,3,642,2023-09-01,4.36,1,3,62,23-157050
134688,Home in Vancouver · ★4.60 · 2 bedrooms · 1 bed · 1 shared bath,653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,80,30,45,2023-08-02,0.31,5,204,2,
140698,Loft in Vancouver · ★4.86 · 1 bedroom · 2 beds · 1 bath,69640,Stephen,,Mount Pleasant,49.26262921288303,-123.1044384134911,Entire home/apt,126,6,162,2023-08-15,1.09,1,164,21,21-156960
172827,Condo in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 2 baths,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,400,10,7,2019-12-28,0.11,1,0,0,18 549804 SA
182451,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,874660,Penny,,Kitsilano,49.25808,-123.16824,Entire home/apt,131,30,57,2021-02-28,0.39,1,90,0,18-610-361
196722,Townhouse in Vancouver · ★4.38 · 3 bedrooms · 4 beds · 3.5 baths,958297,Elana & Gary,,Grandview-Woodland,49.2634,-123.0712,Entire home/apt,250,7,13,2019-08-17,0.12,1,246,0,18-549903
248014,Home in Vancouver · 2 bedrooms · 2 beds · 1 bath,1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,30,1,2014-09-04,0.01,1,150,0,
254657,Loft in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,264,3,94,2023-09-04,0.74,1,14,11,22-156187
256178,Home in Vancouver · ★5.0 · 2 bedrooms · 4 beds · 1 bath,1267409,Julia,,Kitsilano,49.26293,-123.17143,Entire home/apt,213,30,25,2023-05-30,0.19,2,22,1,21-156342
311354,Home in Vancouver · ★4.0 · 3 bedrooms · 3 beds · 2 baths,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,365,6,2019-12-21,0.09,5,90,0,18-475635
322824,Condo in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,200,30,154,2023-05-31,1.11,2,191,5,
323090,Rental unit in Vancouver · ★4.76 · 1 bedroom · 1 bed · 1 bath,1555022,Katya And Nick,,Downtown,49.28244,-123.12293,Entire home/apt,168,30,72,2023-08-01,0.52,2,0,1,
359942,Rental unit in Vancouver · ★4.86 · 2 bedrooms · 1 bed · 1 shared bath,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,256,30,46,2022-09-11,0.33,4,360,1,18607863 AM
377706,Condo in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 private bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,59,2022-10-11,0.44,1,0,1,
415700,Home in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1 private bath,83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,75,30,255,2023-08-01,1.84,4,125,21,23-156649
436032,Loft in Vancouver · ★4.82 · 2 bedrooms · 2 beds · 1 bath,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,289,3,146,2023-08-31,1.06,1,317,25,23-156407
448104,Condo in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,198,30,270,2023-06-02,1.96,3,153,7,23-104241
461370,Home in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 private bath,1200456,Nala,,Killarney,49.22834,-123.03047,Private room,157,2,51,2023-08-28,0.38,4,361,4,23-119829
461386,Home in Vancouver · ★4.42 · 1 bedroom · 1 bed · 1 private bath,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,157,2,43,2023-07-24,0.31,4,357,4,23-119829
