id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
871706993649565094,Home in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,95888031,Chango,,Hastings-Sunrise,49.28375159004672,-123.02501558904844,Entire home/apt,164,2,8,2023-06-04,6.32,1,175,8,23-215254
871724366756435985,Home in Vancouver · ★4.60 · 3 bedrooms · 3 beds · 2 baths,510496832,Aj,,Kensington-Cedar Cottage,49.24299,-123.08975,Entire home/apt,173,3,5,2023-06-08,3.75,1,106,5,23-212323
871728697965016227,Home in Vancouver · ★New · 3 bedrooms · 3 beds · 2 baths,18681484,Allen,,Downtown Eastside,49.28302683891384,-123.08980493093419,Entire home/apt,500,3,2,2023-05-28,1.82,1,138,2,No. 23-204468
871742299557256396,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,446989191,Jordan,,Downtown,49.27625143455522,-123.13073120900467,Entire home/apt,2014,1,0,,,1,363,0,17-101032
871804706334586559,Home in Vancouver · ★New · 3 bedrooms · 3 beds · 2 baths,64940349,Sheila,,Marpole,49.20896871744102,-123.14582879396363,Entire home/apt,240,2,0,,,1,342,0,23-216933
871822603748613787,Rental unit in Vancouver · ★New · 3 bedrooms · 3 beds · 2 baths,419293793,Kim,,West End,49.28929865356605,-123.13184802945227,Entire home/apt,656,2,1,2023-05-19,1,2,38,1,23-213780
871827381419411915,Rental unit in Vancouver · ★New · 2 bedrooms · 2 beds · 2 baths,362748143,Nick,,Downtown,49.27832572929498,-123.119352076775,Entire home/apt,280,30,0,,,1,313,0,
871972440611144914,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,485530982,Darene Harolde,,Kitsilano,49.26050022547761,-123.18390837732511,Shared room,14,31,0,,,1,166,0,
872064683956328830,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 2 baths,246724072,Byron,,Downtown,49.27909959869476,-123.10825277978542,Entire home/apt,342,2,4,2023-05-28,3.43,1,70,4,23-190132
872207427113038171,Home in Vancouver · ★New · 3 bedrooms · 3 beds · 1 bath,455269379,Viet Cong,,Renfrew-Collingwood,49.24788256591023,-123.02420241534423,Entire home/apt,368,1,0,,,3,152,0,23-158500
